,Unnamed: 0,Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
0,0,8002531292,EPC5238,NY,PAS,10/01/2014,21,SUBN,CHEVR,T,20390,29890,31490,01/01/20150111 12:00:00 PM,7.0,7,7,345454,T800,A2,0011A,,NY,F,133,ESSEX ST,,01/05/0001 12:00:00 PM,408,d1,,Y Y Y,1200A,0300A,BL,,2005,,0,A 77,21-No Parking (street clean),,,,,,,,,,,,-73.9875329,40.7201935,133,ESSEX ST,,,,,10002.0,1006704.0,7fec63fe83030d9d
1,1,8015318440,5298MD,NY,COM,03/06/2015,14,VAN,FRUEH,T,27790,19550,19570,01/01/88888888 12:00:00 PM,25.0,25,25,333386,T103,B,0942A,,NY,F,1916,PARK AVE,,01/05/0001 12:00:00 PM,408,c,,YYYYY,0700A,1000A,BROWN,,0,,0,CC3,14-No Standing,,,,,,,,,,,,-73.9366495,40.8087649,1916,PARK AVE,,,,,10037.0,1044292.0,ed9b6b9c4b736700
2,3,7445908067,GWE1987,NY,PAS,04/13/2015,19,4DSD,LEXUS,T,59990,16540,16790,01/01/20170111 12:00:00 PM,102.0,102,102,355669,T402,D,0318P,,Q,F,120-20,QUEENS BLVD,,01/05/0001 12:00:00 PM,408,c3,,YYYYY,0300P,1000P,GY,,2015,,0,01 4,19-No Stand (bus stop),,,,,,,,,,,,-73.8298805,40.7135574,120-20,QUEENS BLVD,,,,,11415.0,10172364.0,e4965e0750aad3d9
3,5,7704791394,JJF6834,PA,PAS,11/20/2014,21,4DSD,NISSA,T,74230,37980,38030,01/01/20150688 12:00:00 PM,67.0,67,67,357104,T302,A,0839A,,K,F,1013,RUTLAND RD,,01/05/0001 12:00:00 PM,408,d1,,Y,0830A,0900A,WHITE,,0,,0,C 32,21-No Parking (street clean),,,,,,,,,,,,-73.9260799,40.66303370000001,1013,RUTLAND RD,,,,,11212.0,3135308.0,2e9b606542b177dd
4,6,7541599104,FYP8263,NY,PAS,08/01/2014,21,SUBN,HONDA,T,77530,63030,93230,01/01/20160605 12:00:00 PM,79.0,79,79,355251,T301,O,0951A,,K,F,155,SKILLMAN ST,,01/05/0001 12:00:00 PM,408,d1,,Y  Y,0830A,1000A,BK,,2012,,0,10 3,21-No Parking (street clean),,,,,,,,,,,,-73.956764,40.6935759,155,SKILLMAN ST,,,,,11205.0,3069243.0,65e062562799d5e0
5,8,7426321423,86318MA,NY,COM,09/23/2014,69,VAN,CHEVR,T,21690,26990,26790,01/01/20150720 12:00:00 PM,5.0,5,5,346381,T105,E,0144P,,NY,O,199,GRAND ST,,01/05/0001 12:00:00 PM,408,h1,,Y,0900A,0700P,WH,,2007,,0,093,69-Failure to Disp Muni Recpt,,,,,,,,,,,,-73.9602965,40.714213799999996,199,GRAND ST,,,,,11211.0,3080415.0,715177950e1e0ce4
6,9,8017159560,GKX8095,NY,PAS,01/20/2015,71,4DSD,LEXUS,T,35490,35780,22670,01/01/20151207 12:00:00 PM,113.0,113,113,361082,T402,R,0259P,,Q,F,137-22,BEDELL ST,,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,GREEN,,1993,,0,N 42,71A-Insp Sticker Expired (NYS),,,,,,,,,,,,-73.7632128,40.6731994,137-22,BEDELL ST,,,,,11413.0,310886.0,4c73ac95534d0cc6
7,10,8017159560,GKX8095,NY,PAS,01/20/2015,71,4DSD,LEXUS,T,35490,35780,22670,01/01/20151207 12:00:00 PM,113.0,113,113,361082,T402,R,0259P,,Q,F,137-22,BEDELL ST,,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,GREEN,,1993,,0,N 42,71A-Insp Sticker Expired (NYS),,,,,,,,,,,,-73.7632128,40.6731994,137-22,BEDELL ST,,,,,11413.0,310886.0,4c73ac95534d0cc6
8,11,7002571382,CXT8949,TX,PAS,02/17/2015,20,SUBN,MAZDA,T,51190,9140,61090,01/01/88880088 12:00:00 PM,109.0,109,109,359625,T401,G,0459P,,Q,O,39-15,JANET PL,,01/05/0001 12:00:00 PM,408,d,,YYYYY,0800A,0600P,WHITE,,0,,0,17 4,20A-No Parking (Non-COM),,,,,,,,,,,,-73.83514890000001,40.7585862,39-15,JANET PL,,,,,11354.0,125355.0,1c6900a95e1ad7f3
9,12,7939966900,GSR4914,NY,PAS,05/05/2015,20,SUBN,DODGE,T,20090,14010,22890,01/01/20160911 12:00:00 PM,5.0,5,5,361097,T101,E,0127P,,NY,O,48,ELDRIDGE ST,,01/05/0001 12:00:00 PM,408,d,,YYYYY,0800A,0600P,SILVE,,2008,,0,53 1,20A-No Parking (Non-COM),,,,,,,,,,,,-73.992974,40.7159652,48,ELDRIDGE ST,,,,,10002.0,1004457.0,e484ba56372ffffa
10,15,7831181295,16238TC,NY,TRC,08/07/2014,14,TRAC,PETER,T,13610,34410,34430,01/01/20150430 12:00:00 PM,14.0,14,14,345058,T102,C,0802A,,NY,O,1260,BROADWAY,,01/05/0001 12:00:00 PM,408,c,,YYYYYYY,,,BLUE,,2014,,0,04 6,14-No Standing,,,,,,,,,,,,-73.9252372,40.6911583,1260,BROADWAY,,,,,11221.0,3055124.0,fb951ff850aba7aa
11,15,7831181295,16238TC,NY,TRC,08/07/2014,14,TRAC,PETER,T,13610,34410,34430,01/01/20150430 12:00:00 PM,14.0,14,14,345058,T102,C,0802A,,NY,O,1260,BROADWAY,,01/05/0001 12:00:00 PM,408,c,,YYYYYYY,,,BLUE,,2014,,0,04 6,14-No Standing,,,,,,,,,,,,-73.98798640000001,40.74844829999999,1260,BROADWAY,,,,,10001.0,1019315.0,9bb82e1dd9f7be5c
12,19,7420795630,6AJWV5,CT,PAS,10/04/2014,37,SUBN,FORD,T,40220,27180,27270,01/01/88880088 12:00:00 PM,48.0,48,48,361051,T201,G,0403P,0318P,BX,F,2390,HOFFMAN ST,,01/01/20141004 12:00:00 PM,408,h1,,Y,0800A,0700P,BLACK,,0,213-1194,0,34 2,37-Expired Muni Meter,,,,,,,,,,,,-73.8885318,40.855766100000004,2390,HOFFMAN ST,,,,,10458.0,2021554.0,4fe11ef2338a902a
13,23,7997989572,GJP9663,NY,PAS,01/24/2015,20,4DSD,NISSA,T,27390,36390,36430,01/01/20151029 12:00:00 PM,30.0,30,30,354084,T103,L,1036A,,NY,O,94,OLD BROADWAY,,01/05/0001 12:00:00 PM,408,d,,Y,0800A,0600P,BK,,2011,,0,CC1,20A-No Parking (Non-COM),,,,,,,,,,,,-73.95559920000001,40.818003000000004,94,OLD BROADWAY,,,,,10027.0,1050950.0,4ed5a18c0f9b2cb4
14,24,7997989572,GJP9663,NY,PAS,01/24/2015,20,4DSD,NISSA,T,27390,36390,36430,01/01/20151029 12:00:00 PM,30.0,30,30,354084,T103,L,1036A,,NY,O,94,OLD BROADWAY,,01/05/0001 12:00:00 PM,408,d,,Y,0800A,0600P,BK,,2011,,0,CC1,20A-No Parking (Non-COM),,,,,,,,,,,,-73.95559920000001,40.818003000000004,94,OLD BROADWAY,,,,,10027.0,1050950.0,4ed5a18c0f9b2cb4
